City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Nikolskoye,RU,66.87,broken clouds,59.7035,30.7861,Tourist House - Sablino
7,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
8,Rikitea,PF,72.3,light rain,-23.1203,-134.9692,People ThankYou
11,Torbay,CA,67.87,few clouds,47.6666,-52.7314,Gallows Cove
12,Caravelas,BR,71.2,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
14,Trinidad,BO,76.98,scattered clouds,-14.8333,-64.9,Hotel Piesta
18,Atuona,PF,77.68,light rain,-9.8,-139.0333,Villa Enata
19,Samarai,PG,77.76,overcast clouds,-10.6167,150.6667,Nuli Sapi
22,Saint-Francois,FR,67.44,clear sky,46.4154,3.9054,Manoir Du Bonheur
23,Ponta Do Sol,PT,70.43,few clouds,32.6667,-17.1,Hotel do Campo
26,Saint-Philippe,RE,64.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
27,Bengkulu,ID,75.79,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
28,Puerto Ayora,EC,70.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
29,Arraial Do Cabo,BR,71.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
30,Yellowknife,CA,69.19,broken clouds,62.456,-114.3525,The Explorer Hotel
33,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
35,Russell,US,83.48,overcast clouds,32.3502,-85.1999,Macs
37,Hithadhoo,MV,83.03,overcast clouds,-0.6,73.0833,Scoop Guest House
39,Hobyo,SO,78.19,broken clouds,5.3505,48.5268,Iftin hotel hobyo
40,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
41,Tabou,CI,75.78,overcast clouds,4.423,-7.3528,hotêl doufoulougou
46,Kavaratti,IN,81.36,overcast clouds,10.5669,72.642,Green leaf
48,Bocana De Paiwas,NI,75.45,moderate rain,12.7857,-85.1227,Guapinol Cabaña Monge
49,Butaritari,KI,82.58,broken clouds,3.0707,172.7902,Isles Sunset Lodge
52,Saint-Pierre,RE,67.91,broken clouds,-21.3393,55.4781,Alize Plage
60,Pedasi,PA,79.07,broken clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
61,Saiha,IN,68.68,moderate rain,22.4833,92.9667,"Circuit House, Siaha"
64,Katsuura,JP,75.51,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
66,Alyangula,AU,67.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
67,Mahebourg,MU,66.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
70,Cartagena Del Chaira,CO,74.44,broken clouds,1.3349,-74.8429,HOTEL LA ROCA
71,Puerto Carreno,CO,79.34,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
74,Bambous Virieux,MU,66.45,light rain,-20.3428,57.7575,Casa Tia Villa
76,Ucluelet,CA,64.09,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
77,Kainantu,PG,66.88,overcast clouds,-6.2887,145.8655,Sylvester buku
79,Port Moresby,PG,75.16,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
80,Salalah,OM,78.03,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
81,Sola,VU,81.05,few clouds,-13.8833,167.55,Leumerus Bungalows
83,Hami,CN,75.7,broken clouds,42.8,93.45,Laoyutang Resort
88,Hudson Bay,CA,81.75,few clouds,52.85,-102.3842,Norwood Motel LTD
90,Vaini,TO,77.04,clear sky,-21.2,-175.2,Keleti Beach Resort
91,Puerto Baquerizo Moreno,EC,70.97,broken clouds,-0.9,-89.6,Hotel los Algarrobos
93,The Pas,CA,81.91,clear sky,53.8251,-101.2541,Wescana Inn
94,Chegdomyn,RU,69.67,scattered clouds,51.1167,133.0167,Gostinitsa Bureya
95,Goderich,CA,68.92,broken clouds,43.7501,-81.7165,Harmony Inn
97,San Quintin,MX,70.63,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
98,Requena,ES,71.8,broken clouds,39.4883,-1.1004,Hotel Avenida
100,Guerrero Negro,MX,73.38,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
104,Kavieng,PG,82.26,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
105,Lorengau,PG,83.39,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
108,Totness,SR,77.49,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
110,Glazov,RU,67.33,light rain,58.1394,52.6584,Gostinitsa Glazov
