City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,41.92,68,77,9.22,broken clouds
1,Marrakesh,MA,31.6315,-8.0083,86.07,48,40,8.05,scattered clouds
2,Nikolskoye,RU,59.7035,30.7861,66.87,71,59,4.7,broken clouds
3,Port Lincoln,AU,-34.7333,135.8667,51.26,76,3,5.48,clear sky
4,Kodiak,US,57.79,-152.4072,60.31,67,100,10.36,overcast clouds
5,Clyde River,CA,70.4692,-68.5914,45.12,70,69,6.38,broken clouds
6,Erdenet,MN,49.0333,104.0833,58.77,71,100,3.36,overcast clouds
7,Avarua,CK,-21.2078,-159.775,75.25,64,75,16.11,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,72.3,80,92,11.41,light rain
9,Saskylakh,RU,71.9167,114.0833,48.31,57,99,10.76,overcast clouds
10,La Sarre,CA,48.8002,-79.1996,57.38,83,85,8.39,overcast clouds
11,Torbay,CA,47.6666,-52.7314,67.87,72,19,15.84,few clouds
12,Caravelas,BR,-17.7125,-39.2481,71.2,88,3,4.72,clear sky
13,Chuy,UY,-33.6971,-53.4616,45.14,86,3,8.68,moderate rain
14,Trinidad,BO,-14.8333,-64.9,76.98,69,49,0.0,scattered clouds
15,Upernavik,GL,72.7868,-56.1549,41.4,87,21,12.62,few clouds
16,Bluff,NZ,-46.6,168.3333,45.81,77,97,10.22,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,25.29,93,18,4.74,few clouds
18,Atuona,PF,-9.8,-139.0333,77.68,77,22,19.8,light rain
19,Samarai,PG,-10.6167,150.6667,77.76,83,100,19.69,overcast clouds
20,Pawai,IN,24.2667,80.1667,85.21,61,14,6.31,few clouds
21,Airai,TL,-8.9266,125.4092,55.29,82,49,3.89,scattered clouds
22,Saint-Francois,FR,46.4154,3.9054,67.44,77,0,3.44,clear sky
23,Ponta Do Sol,PT,32.6667,-17.1,70.43,77,12,3.87,few clouds
24,Punta Arenas,CL,-53.15,-70.9167,37.11,84,100,10.4,overcast clouds
25,Dunedin,NZ,-45.8742,170.5036,49.8,82,100,11.99,overcast clouds
26,Saint-Philippe,RE,-21.3585,55.7679,64.22,80,27,10.27,light rain
27,Bengkulu,ID,-3.8004,102.2655,75.79,90,97,3.04,overcast clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,70.56,93,44,5.99,scattered clouds
29,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,88,40,4.61,scattered clouds
30,Yellowknife,CA,62.456,-114.3525,69.19,42,60,12.77,broken clouds
31,Rio Grande,BR,-32.035,-52.0986,48.94,79,0,16.78,clear sky
32,Truth Or Consequences,US,33.1284,-107.2528,95.23,22,100,12.66,overcast clouds
33,Hasaki,JP,35.7333,140.8333,75.6,87,96,13.44,overcast clouds
34,Asau,RO,46.4333,26.4,61.72,60,19,7.27,few clouds
35,Russell,US,32.3502,-85.1999,83.48,64,100,5.97,overcast clouds
36,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,93,100,16.11,light rain
