City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bacolod,PH,2022-07-12 18:32:06,10.6667,122.95,78.3,87,95,6.33
1,Punta Arenas,CL,2022-07-12 18:25:29,-53.15,-70.9167,32.11,100,100,5.75
2,Tyazhinskiy,RU,2022-07-12 18:32:07,56.116,88.524,53.04,90,100,4.54
3,Piterka,RU,2022-07-12 18:32:07,50.6803,47.4454,77.52,55,39,11.03
4,Mar Del Plata,AR,2022-07-12 18:29:41,-38.0023,-57.5575,55.09,56,40,12.66
5,Loukhi,RU,2022-07-12 18:32:08,66.0764,33.0381,64.18,93,4,2.8
6,Los Llanos De Aridane,ES,2022-07-12 18:32:09,28.6585,-17.9182,69.12,81,75,14.97
7,Kutum,SD,2022-07-12 18:32:09,14.2,24.6667,80.53,47,62,6.04
8,Hamilton,US,2022-07-12 18:31:30,39.1834,-84.5333,89.94,48,20,14.97
9,Westport,US,2022-07-12 18:32:10,41.1415,-73.3579,90.3,58,0,17.27
10,Sankarpur,IN,2022-07-12 18:32:11,22.8481,88.4553,84.15,86,89,10.49
11,Sedro-Woolley,US,2022-07-12 18:32:12,48.5039,-122.2361,79.39,77,40,11.5
12,Busselton,AU,2022-07-12 18:23:03,-33.65,115.3333,55.45,84,29,6.24
13,Mingshui,CN,2022-07-12 18:32:12,36.7167,117.5,73.18,93,100,5.14
14,Eslov,SE,2022-07-12 18:32:13,55.8393,13.3039,74.43,73,88,5.97
15,Zaozhuang,CN,2022-07-12 18:32:14,34.8647,117.5542,78.78,87,100,4.79
16,Pangnirtung,CA,2022-07-12 18:32:14,66.1451,-65.7125,48.2,100,100,0.0
17,Bethel,US,2022-07-12 18:28:24,41.3712,-73.414,90.36,59,20,9.22
18,Esmeraldas,BR,2022-07-12 18:32:15,-19.7625,-44.3139,82.51,28,100,6.29
19,Grand Gaube,MU,2022-07-12 18:32:15,-20.0064,57.6608,72.0,68,97,7.0
20,Leningradskiy,RU,2022-07-12 18:32:16,69.3833,178.4167,44.73,94,100,4.21
21,Marathon,US,2022-07-12 18:32:16,44.9,-89.7668,80.13,52,20,11.5
22,Inirida,CO,2022-07-12 18:32:17,3.8653,-67.9239,83.68,80,57,0.92
23,Mataura,NZ,2022-07-12 18:25:31,-46.1927,168.8643,43.48,98,100,5.55
24,Liangxiang,CN,2022-07-12 18:32:18,39.7319,116.14,73.96,80,6,4.03
25,Gallup,US,2022-07-12 18:32:18,35.5281,-108.7426,85.01,29,0,6.87
26,Torbay,CA,2022-07-12 18:31:44,47.6666,-52.7314,74.17,40,40,16.11
27,Tuktoyaktuk,CA,2022-07-12 18:32:19,69.4541,-133.0374,42.8,100,100,10.36
28,Hami,CN,2022-07-12 18:31:05,42.8,93.45,85.53,20,100,26.15
29,Fairfield,US,2022-07-12 18:32:20,41.2668,-73.3162,89.19,59,20,17.27
30,Ushuaia,AR,2022-07-12 18:25:24,-54.8,-68.3,38.86,87,75,10.36
31,Kidal,ML,2022-07-12 18:32:21,18.4411,1.4078,94.82,27,21,9.28
32,San Alberto,CO,2022-07-12 18:32:22,7.7611,-73.3922,87.1,70,80,3.58
33,Lebu,CL,2022-07-12 18:32:22,-37.6167,-73.65,50.9,89,90,4.47
34,Kirensk,RU,2022-07-12 18:32:23,57.7853,108.1119,54.79,97,100,3.76
35,Arkhangelsk,RU,2022-07-12 18:32:23,64.5401,40.5433,77.11,65,20,2.24
36,Hobart,AU,2022-07-12 18:32:24,-42.8794,147.3294,44.46,85,75,9.22
37,Rikitea,PF,2022-07-12 18:23:05,-23.1203,-134.9692,74.91,72,70,15.93
38,Severo-Kurilsk,RU,2022-07-12 18:32:24,50.6789,156.125,54.07,93,52,2.57
39,Provideniya,RU,2022-07-12 18:25:41,64.3833,-173.3,51.51,77,48,4.34
40,Koumac,NC,2022-07-12 18:32:25,-20.5667,164.2833,70.75,89,76,2.84
41,Cape Town,ZA,2022-07-12 18:24:54,-33.9258,18.4232,55.9,88,0,10.36
42,Victoria,HK,2022-07-12 18:32:26,22.2855,114.1577,86.38,79,6,7.0
43,Touba,CI,2022-07-12 18:32:27,8.2833,-7.6833,73.45,87,51,0.81
44,Jamestown,US,2022-07-12 18:25:20,42.097,-79.2353,82.53,52,40,16.11
45,Lagoa,PT,2022-07-12 18:25:31,39.05,-27.9833,70.2,90,65,10.36
46,Kaitangata,NZ,2022-07-12 18:33:28,-46.2817,169.8464,45.36,96,100,13.06
47,Yellowknife,CA,2022-07-12 18:22:29,62.456,-114.3525,70.32,68,75,16.11
48,Saint-Francois,FR,2022-07-12 18:33:29,46.4154,3.9054,85.44,28,0,4.61
49,Glasgow,GB,2022-07-12 18:30:42,55.8652,-4.2576,67.15,66,28,13.8
50,Deoband,IN,2022-07-12 18:33:29,29.7,77.6833,83.52,73,0,4.43
51,Thompson,CA,2022-07-12 18:28:48,55.7435,-97.8558,69.96,49,20,2.3
52,Vaini,TO,2022-07-12 18:26:46,-21.2,-175.2,73.56,83,20,4.61
53,Baglung,NP,2022-07-12 18:33:30,28.2719,83.5898,71.64,96,100,1.12
